Molecule ChEMBL ID,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Target ChEMBL ID,Smiles
CHEMBL137756,IC50,'=',530.0,nM,6.28,CHEMBL4822,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H](C)C(N)=O)C(C)C
CHEMBL473159,IC50,'=',36470.0,nM,4.44,CHEMBL4822,Oc1cc(O)cc(O)c1
CHEMBL1955882,IC50,'=',263.03,nM,6.58,CHEMBL4822,NC1=NC(c2ccncc2)(c2cccc(-c3cncnc3)c2)C2=NCCCN12
CHEMBL600326,IC50,'=',70.0,nM,7.16,CHEMBL4822,Cc1cc2cc(n1)OCCCCOc1cccc(c1)C[C@@H]([C@H](O)CNC1(c3cccc(C(C)C)c3)CC1)NC2=O
CHEMBL3400767,IC50,'=',480.0,nM,6.32,CHEMBL4822,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)O)c1
CHEMBL3703250,IC50,'=',8940.0,nM,5.05,CHEMBL4822,CC(C)Cc1ccc2c(c1)C1(COC(N)=N1)C1(COC1)C1(CCC1)O2
CHEMBL3984469,IC50,'=',260.0,nM,6.58,CHEMBL4822,C[C@@]1(c2cc(NC3CCC3)ccc2F)COCC(N)=N1
CHEMBL3653689,IC50,'=',7530.0,nM,5.12,CHEMBL4822,CC1=NC2(N=C1N)c1cc(Br)ccc1CC21CCOCC1
CHEMBL3963582,IC50,'=',21.0,nM,7.68,CHEMBL4822,CCO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cc(F)cc(C#N)c3)cc1C21N=C(C)C(N)=N1
CHEMBL4109666,IC50,'=',4.0,nM,8.4,CHEMBL4822,CO[C@@H]1[C@@H](C)C[C@]2(Cc3ccc(C#N)cc3[C@]23N=C(N)N(CC2(C)COC2)C3=O)C[C@H]1C
CHEMBL4109090,IC50,'=',12.0,nM,7.92,CHEMBL4822,CO[C@@H]1[C@@H](C)C[C@]2(Cc3ccc(C#N)cc3[C@]23N=C(N)N(CC2(F)CCOCC2)C3=O)C[C@H]1C
CHEMBL3672399,IC50,'=',730.0,nM,6.14,CHEMBL4822,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)c(Cl)c1
CHEMBL3672414,IC50,'=',630.0,nM,6.2,CHEMBL4822,COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2cc(O)ccc2[N+](=O)[O-])cc1O
CHEMBL3672415,IC50,'=',1600.0,nM,5.8,CHEMBL4822,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)ccc1F
